cid,rid,text,date,userid,username,rate
1,1,Good,2019-04-30,1,Amy,4.5
2,2,Good,2019-05-01,2,Alice,5
3,3,Good,2019-05-02,3,Bob,3.5
4,4,Good,2019-05-03,4,Cindy,2.5
5,5,Good,2019-05-04,5,David,3
6,6,Good,2019-05-05,6,Edward,4.5
7,7,Good,2019-05-06,7,Fold,5
8,8,Good,2019-05-07,8,Gin,4.5
9,9,Good,2019-05-08,9,Henry,5
10,10,Great,2019-05-09,1,Amy,3.5
11,11,Great,2019-05-10,2,Alice,2.5
12,12,Great,2019-05-11,3,Bob,3
13,1,Great,2019-05-12,4,Cindy,4.5
14,2,Great,2019-05-13,5,David,5
15,3,Great,2019-05-14,6,Edward,4.5
16,4,Great,2019-05-15,7,Fold,5
17,5,Great,2019-05-16,8,Gin,3.5
18,6,Great,2019-05-17,9,Henry,2.5
19,7,Great,2019-05-18,1,Amy,3
